28963	1879
28976	1870
6194	1129
5883	957
29949	2584
31214	3686
28958	1864
28474	1392
32082	4555
28955	1873
30981	3440
30948	3387
32081	4554
6216	1148
28487	1403
30442	2798
30209	2512
31945	4418
32796	5295
30653	3056
30145	2412
32640	5135
31003	3462
29166	2009
31815	4289
30373	2698
29172	1983
30945	3384
30892	3344
28962	1878
30738	3161
6175	1113
31091	3553
30937	3381
33150	5655
30099	2369
30820	3257
28563	1449
28968	1881
30534	2922
29630	2648
30130	2398
6373	1255
6482	1334
4153	491
31654	4136
31687	4168
28688	1630
31054	3516
32095	4570
6211	1145
29446	2174
32014	4485
32569	5064
5917	980
30134	2402
5111	765
32567	5058
31122	3584
6060	1060
6480	1332
4350	555
31876	4350
30089	2359
5181	771
5357	814
31730	4209
31495	3981
6472	1324
32188	4665
3602	293
6341	1233
28699	1641
30276	2653
32620	5114
6479	1331
28705	1647
32737	5233
30370	2694
6401	1277
28957	1875
31340	3819
5203	781
33372	5878
28625	1494
29966	2271
32106	4581
30283	3421
5565	902
30378	2707
6311	1214
31886	4360
28855	1774
30744	3167
6073	1070
28694	1636
28638	1580
29310	2124
28959	1876
28864	1785
32104	4579
30965	4503
32704	5200
31051	3513
31980	4453
31462	3950
32291	4771
6202	1137
33696	6189
30296	2669
4695	658
30149	2424
28817	1740
29220	2033
32518	5006
30465	2829
31254	3727
30196	2490
4588	617
32058	4532
32738	5234
33180	5683
31053	3515
32048	4522
30773	3199
32675	5172
32611	5105
5067	1528
32764	5263
30963	3404
30285	2691
32762	5261
29147	1957
28650	1592
32690	5186
31174	3643
4553	601
28528	1427
32607	5101
31493	3979
28734	1668
32042	4516
29219	2057
33152	5657
31864	4338
29185	1997
32582	5078
31513	3997
31094	3556
5403	844
4514	592
31086	3548
31593	5061
31816	4290
33173	5676
6034	1043
33108	5613
31819	4293
4454	574
31099	3561
29168	1979
28531	1429
4789	682
32888	5384
31313	3787
29155	1970
6286	1196
28489	1404
30041	2316
28507	1415
31114	3576
32628	5122
31124	3586
31079	3541
28729	1664
32029	4499
28668	1610
31068	3530
4084	455
31047	3509
33272	5776
31992	4465
29081	1901
32667	5164
32055	4529
32566	5057
31255	3728
31010	3469
31140	3604
6287	1197
30515	2891
29227	2058
4044	441
31090	3552
29265	2081
30148	2423
32693	5189
31096	3558
28977	1888
32059	4533
31101	3563
6491	1342
30095	2365
29763	2604
29323	2133
31718	4197
6384	1263
5019	731
33199	5702
28466	1388
33636	6134
3985	420
5370	818
31556	4033
6427	1294
29705	2228
